Gambaran Umum Keadaan Sekolah Dasar Tiap Provinsi (Kab. Bima) Tahun 2024/2025 SD,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,0,0,0,0,0,0,0,0,0
19,19,28,13,15,27,19,24,27,2
9,8,17,12,8,14,13,8,12,1
3,13,20,1,7,25,14,14,14,1
18,11,21,8,3,23,12,13,15,1
2,3,10,8,4,5,10,22,26,1
16,5,5,5,11,8,8,1,3,1
13,14,25,11,2,21,11,15,16,1
17,11,15,6,10,26,15,11,13,1
4,6,9,5,14,17,17,4,5,1
12,2,4,7,0,6,2,21,25,1
6,8,18,3,5,10,7,10,10,1
15,4,2,10,9,3,18,23,24,1
1,6,3,2,13,9,6,3,6,1
8,7,11,6,6,15,5,6,9,1
7,12,14,4,4,19,9,12,11,1
14,5,8,5,4,11,6,2,4,1
11,17,27,9,12,2,3,19,21,1
5,16,24,8,0,1,16,18,19,1
10,6,13,9,5,12,4,5,8,1
9,1,12,0,0,0,0,9,1,3
3,9,26,0,12,16,0,17,7,3
18,15,23,0,1,4,0,17,18,3
13,1,1,0,1,22,0,20,22,3
6,1,19,0,0,18,0,20,17,3
8,9,6,0,13,24,0,7,2,3
7,1,22,0,0,20,1,20,22,3
14,1,16,0,0,7,0,20,23,3
10,1,7,0,0,13,0,16,20,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
21,10,0,0,0,0,0,0,0,0
20,18,0,0,0,0,0,0,0,0
